"Ascending","Ascending"
"Descending","Descending"
"Alphabetical","Alphabetical"
"Most Recent","Most Recent"
"Random","Random"
"Product Slider","Product Slider"
"Product Sliders","Product Sliders"
"General Settings","General Settings"
"Limit","Limit"
"Number of the items to show. Default: 36","Number of the items to show. Default: 36"
"Sort By","Sort By"
"Product collection sort order configuration","Product collection sort order configuration"
"Sort Order","Sort Order"
"Product collection sort order direction","Product collection sort order direction"
"Sliders Settings","Sliders Settings"
" Featured Products","Featured Products"
"Is Enabled","Is Enabled"
"Title","Title"
"Newest Products","Newest Products"
"Recently Viewed Products","Recently Viewed Products"
"Sale Products","Sale Products"
"Bestsellers","Bestsellers"
"Associated Products"," Associated Products"
"Products associated with current by a few attributes listed below","Products associated with current by a few attributes listed below"
"Associated Attributes","Associated Attributes"
"Attributes to filter a product collection (they should be visible on front)","Attributes to filter a product collection (they should be visible on front)"
"Similar Products","Similar Products"
"Products similar with current (products in the same category)","Products similar with current (products in the same category)"
"Products similar with current (products in the same category). Will be shown only if Wishlist is enabled","Products similar with current (products in the same category). Will be shown only if Wishlist is enabled"
"Implementation","Implementation"
"Product Sliders can be placed on the any position of the page.","Product Sliders can be placed on the any position of the page."
"Available slider types:","Available slider types:"
"Type","Type"
"Available on","Available on"
"Short Description","Short Description"
"Sale Products (products with special price)","Sale Products (products with special price)"
"For example Featured products:","For example Featured products:"
"Option 1: Add the code below to a CMS Page or a Static Block","Option 1: Add the code below to a CMS Page or a Static Block"
"Option 2: Add the code below to a template file","Option 2: Add the code below to a template file"
"Option 3: Add the code below to a layout file","Option 3: Add the code below to a layout file"
"Required for the module functionality. Disable it if you will have any conflicts with another modules","Required for the module functionality. Disable it if you will have any conflicts with another modules"